#$Mask = @{1 = "Prefix" ; 2 = "Object" ; 4 = "Suffix" ; 8 = "Generic" ; 16 = "IT"}
Value,Mask
Slidedeck,16
Desert,10
Parched,9
Quaking,9
Performant,17
Ascendant,10
Shooting Star,10
Falling Star,10
Bloodcurdling,9
Unveiled,25
Preposterous,25
Menacing,25
Brazen,9
Emblazoned,9
Armageddon,10
Apocalypse,10
Bloodbath,10
Catastrophe,10
Delirious,9
Valorous,9
Supreme,9
Plummeting,9
Spectacular,25
Searing,9
Sensational,9
Perverse,9
Misled,9
Mischievous,9
Fearless,25
Loathsome,9
Obnoxious,9
Faithless,9
Deceiving,25
Daring,25
Extraordinary,9
Intoxicating,9
High and Mighty,9
Beguiling,9
Abhorrent,9
Hurricane,10
Breathtaking,9
Awe-inspiring,25
Audacious,9
Delinquent,25
Hypnotic,9
Enthralling,9
Exploit,18
Magic,31
Lascivious,9
Longing,25
Perfect,25
Miraculous,25
Life-changing,25
Pretentious,25
Mind-blowing,25
Prevailing,25
Reliable,25
Uncensored,25
Booked-solid,17
Certified,17
Confessional,9
Automatic,25
Authentic,25
Obligatory,17
Guaranteed,25
Blacklisted,17
Tested,25
Withheld,25
Rock-solid,17
Clockwork,10
Risk-free,17
Ironclad,25
Lifetime,25
Little-known,25
Unconditional,25
Conditional,25
Sure-fire,25
Luxurious,25
Unauthorized,17
Under-the-table,17
Restricted,17
Permanent,25
Professional,17
Recession-proof,17
Anonymous,17
Spellbinding,9
Tantalizing,9
Teetering,17
Sick and Tired,25
Bargain,26
Backdoor,26
Cross-platform,17
Bleeding Edge,17
Stakeholder,18
Robust,17
Artisanal,17
Proactive,17
Streamlined,17
Paradigm Shift,18
Heavy Lifting,18
Holistic Approach,18
Synergy,18
Wheelhouse,18
Game-changer,18
Leverage,18
Low-hanging Fruit,18
Thought Leader,18
Burning Platform,18
Ineffable,9
Nefarious,9
Ethereal,9
Ephemeral,9
Illicit,9
Iridescent,9
Epiphany,10
Supine,9
Sonder,10
Effervescent,9
Eloquence,10
Eloquent,9
Cromulent,9
Serendipitous,9
Incandescence,9
Luminescence,10
Luminescent,9
Solitude,10
Aurora,10
Serendipity,10
Cloud-hosted,17
Liquored-up,17
High-definition,17
Procedurally-generated,17
Next-generation,17
Scalable,17
Real-time,17
Failure Domain,18
Database,18
Deep Dive,18
Paradigm,18
Portal,18
Server,18
Service Manager,18
Deathtrap,18
Engineer,18
as-a-service,20
Protocol,20
Process,20
Directive,20
Action Item,20
Meeting Minutes,20
Project Plan,20
Solution,20
Podcast,20
Slideshow,20
PowerPoint,20
Sharepoint Site,20
Spreadsheet,20
Presentation,20
Roadmap,20
Smoldering,9
Icy,9
Forlorn,9
Blackened,9
Merciless,9
Hopeless,9
Honest,9
Honorable,9
Harsh,9
Joyous,9
Broken,9
Consuming,9
Abyssal,9
Leaching,9
Wounding,9
Thorny,9
Shocking,9
Flaming,9
Freezing,9
Blinding,9
Starlit,9
Strong,9
Weak,9
Invading,9
Certain,9
Dishonorable,9
Darkened,9
Horrifying,9
Terrifying,9
Diamond,9
Iron,9
Steel,9
Silver,9
Slivered,9
Shattered,9
Grateful,9
Resentful,9
Empty,9
Abject,9
Invincible,9
Ageless,9
Unchanging,9
Eternal,9
Perpetual,9
Graceful,9
Clumsy,9
Treasonous,9
Trusting,9
Fateless,9
Guilty,9
Soulless,9
Disastrous,9
Catastrophic,9
Cataclysmic,9
Heavy,9
Massive,9
Masterwork,9
Looming,9
Hounding,9
Painful,9
Miserable,9
Enraged,9
Bedeviled,9
Mutated,9
Mutilated,9
Disfigured,9
Foolish,9
Encircling,9
Overwhelming,9
Marred,9
Senseless,9
Tired,9
Dreamy,9
Deceitful,9
Foolhardy,9
Crestfallen,9
Dark,9
Dying,9
Unforgiven,9
Unforgettable,9
Treasured,9
Haunting,9
Memorable,9
Unknown,9
Regretful,9
Raging,9
Calm,9
Rebellious,9
Insolent,9
Bold,9
Defiant,9
Dauntless,9
Feral,9
Cruel,9
Clever,9
Confident,9
Pure,9
Corrupt,9
Corrupted,9
Fraudulent,9
Reborn,9
Keen,9
Gruesome,9
Punishing,9
Steadfast,9
Royal,9
Wild,9
Silent,9
Severed,9
Angelic,9
Demonic,9
Wrathful,9
Seared,9
Infinite,9
Finite,9
Sprawling,9
Spiraling,9
Immolated,9
Mortal,9
Immortal,9
Moral,9
Immoral,9
Barbed,9
Brave,9
Grave,9
Pained,9
Focused,9
Indestructible,9
Bound,9
Chained,9
Imprisoned,9
Spiked,9
Blazing,9
Bounding,9
Astute,9
Shrewd,9
Prideful,9
Arrogant,9
Superior,9
Inferior,9
Harmonic,9
Disharmonic,9
Revealing,9
Mighty,9
Thoughtful,9
Thoughtless,9
Panicked,9
Chaotic,9
Tragic,9
Celebrated,9
Scorned,9
Scornful,9
Torn,9
Cloven,9
Enforced,9
Forced,9
Sinking,9
Worsening,9
Promised,9
Fabled,9
Homeward,9
Tainted,9
Wandering,9
Abandoned,9
Increasing,9
Decreasing,9
Diminished,9
Weakening,9
Weakened,9
Overshadowing,9
Thundering,9
Thunderous,9
Blistering,9
Blistered,9
Plagued,9
Jagged,9
Tortured,9
Absent,9
Innocent,9
Futile,9
Infantile,9
Scared,9
Mythic,9
Temporary,9
Temporal,9
Fleeting,9
Timeless,9
Unlimited,9
Limited,9
Complete,9
Incomplete,9
Discarded,9
Dim,9
Bright,9
Overflowing,9
Impending,9
Inescapable,9
Knowing,9
Virtuous,9
Worthy,9
Worthless,9
Unworthy,9
Righteous,9
Violent,9
Peaceful,9
Sufficient,9
Insufficient,9
Betraying,9
Concurrent,9
Collapsing,9
Regal,9
Cascading,9
Crowning,9
Merged,9
Lonely,9
Blatant,9
Injurious,9
Toiling,9
Endless,9
Final,9
Enslaved,9
Exposed,9
Kind,9
Unkind,9
Blemished,9
Unblemished,9
Concealing,9
Undeniable,9
Denied,9
Giant,9
Titanic,9
Colossal,9
Enclosed,9
Enclosing,9
Shrouded,9
Reinforced,9
Unstoppable,9
Unbreakable,9
Interfering,9
Ruinous,9
Sworn,9
Worn,9
Euphoric,9
Mistaken,9
Accidental,9
Fiery,9
Momentous,9
Devoid,9
Pallid,9
Telltale,9
Obvious,9
Oblivious,9
Unliving,9
Synergized,9
Multifarious,9
Assorted,9
Remorseful,9
Vacant,9
Gravid,9
Impossible,9
Possible,9
Unlikely,9
Likely,9
Improbable,9
Probable,9
Mad,9
Imfamous,9
Famous,9
Disloyal,9
Loyal,9
Terminal,9
Enhancing,9
Enhanced,9
Super-human,9
Sub-human,9
Last,9
First,9
Threadbare,9
Purposed,9
Agonized,9
Magnetic,9
Soiled,9
Filthy,9
Dirty,9
Clean,9
Human,9
Animal,9
Obliterated,9
Animalistic,9
Ghostly,9
Punished,9
Steady,9
Unsteady,9
Rough,9
Smooth,9
Flawless,9
Flawed,9
Tame,9
Untamed,9
Servile,9
Submissive,9
Passive,9
Compliant,9
Subservient,9
Meek,9
Docile,9
Assertive,9
Dominant,9
Proud,9
Retroactive,9
Taken,9
Given,9
Stolen,9
Ignorant,9
Single,9
Double,9
Triple,9
Wicked,9
Blessed,9
Cursed,9
Unremarkable,9
Remarkable,9
Selfish,9
Selfless,9
Greedy,9
Generous,9
Meager,9
Princely,9
Lavish,9
Open-handed,9
Stingy,9
Substantial,9
Desired,9
Undesired,9
Unbounded,9
Celestial,9
Resplendent,9
Splendid,9
Dazzling,9
Magnificent,9
Glorious,9
Inglorious,9
Impressive,9
Unimpressive,9
Stunning,9
Holy,9
Unholy,9
Living,9
Indebted,9
Debtless,9
Blameless,9
Gladiatorial,9
Worthwhile,9
Inevitable,9
Avoidable,9
Artificial,9
Natural,9
Simple,9
Complex,9
Unbelievable,9
Monstrous,9
Lurid,9
Ghastly,9
Mammoth,9
Horrific,9
Prodigious,9
Believable,9
Plausible,9
Airborne,9
Grounded,9
Static,9
Dynamic,9
Indignant,9
Timelost,9
Painless,9
Numb,9
Golden,9
Sweet,9
Sour,9
Bitter,9
Delicate,9
Overdue,9
Effervescent,9
Vivacious,9
Vibrant,9
Still,9
Early,9
Late,9
Expired,9
Expiring,9
Paid,9
Unpaid,9
Disarmed,9
Nightmarish,9
Fevered,9
Feverish,9
Bare,9
Naked,9
Heartbroken,9
Stinging,9
Conforming,9
Dedicated,9
Youthful,9
Ancient,9
Incalculable,9
Incurable,9
Curable,9
Bittersweet,9
Suggestive,9
Yawning,9
Possessed,9
Liquid,9
Comprehensive,9
Anticlimactic,9
Expensive,9
Frugal,9
Explosive,9
Unrequited,9
Adorable,9
Nubile,9
Nascent,9
Budding,9
Common,9
Uncommon,9
Rare,9
Collaborative,9
Heart-breaking,9
Condescending,9
Never-ending,9
Star-bound,9
Earth-bound,9
All-inclusive,9
High-quality,9
Low-quality,9
Ever-growing,9
The ebb and flow of the,9
Back-breaking art of the,9
Trendy,9
